Word	uniqueID	WordContext	N_Ratings	Level1	N_noSize	N_notKnow	N_noRange	RangeStart_mean	RangeEnd_mean	RangeLength_mean	Size_mean	RangeStart_SD	RangeEnd_SD	RangeLength_SD	Size_SD
bandanna	bandanna	bandanna	40	3.416666667	2	2	1	217.0833333	236.6111111	19.52777778	226.8472222	33.24229234	27.67389464	15.22870618	29.62210069
banjo	banjo	banjo	47	4.568181818	0	3	2	260.8181818	276.7727273	15.95454545	268.7954545	18.16241036	17.10686471	8.717676631	17.09559925
bank	bank	bank (savings box)	42	3.810810811	1	4	0	232.0540541	256.2162162	24.16216216	244.1351351	22.59786856	21.02529579	19.75476527	19.46280236
banner	banner	banner	47	4.9268292680000005	6	0	0	275.0	318.2195122	43.2195122	296.6097561	34.55647551	36.99764329999999	25.78324281	33.39601627
barbed wire	barbed_wire	barbed wire	42	3.0333333330000003	11	1	0	203.1	234.1	31.0	218.6	76.54493834	75.28170085	22.42381739	75.08344783
barbell	barbell	barbell	46	4.357142857	0	4	1	253.8095238	273.6666667	19.85714286	263.73809520000003	31.88488295	33.76003314	12.57673312	32.22808162
barcode	barcode	barcode	44	1.976190476	2	0	0	154.88095239999998	174.452381	19.57142857	164.66666669999998	14.36832964	12.16993974	12.65709645	11.71442027
bark	bark	bark	46	3.1875	28	2	1	197.4375	234.125	36.6875	215.78125	61.43502665	67.45949402	41.3032989	61.12309131
barnacle	barnacle	barnacle	46	2.097560976	1	4	0	156.82926830000002	183.3658537	26.53658537	170.097561	37.18662558	39.63316547	21.50941371	36.893803600000005
barrel	barrel	barrel	47	4.9130434780000005	0	1	1	278.8478261	298.13043480000005	19.2826087	288.4891304	19.34708407	16.29397802	12.45375988	16.76686187
barrette	barrette	barrette	48	2.086956522	1	1	0	162.9782609	181.1521739	18.17391304	172.06521740000002	26.3898037	23.18617154	11.44708473	24.17128891
baseball	baseball	baseball	45	2.977777778	0	0	10	198.0888889	202.9111111	4.822222222	200.5	6.700821599	8.420273755	6.816720382000001	6.803241206
baseball bat	baseball_bat	baseball bat	42	4.19047619	0	0	1	248.0952381	269.11904760000004	21.02380952	258.6071429	28.98764205	20.38316185	17.84826028	23.41448783
baseball glove	baseball_glove	baseball 	43	2.952380952	1	1	17	200.7380952	206.9047619	6.166666667	203.8214286	14.56701842	17.2906425	11.74924319	14.86845631
basil	basil	basil	44	1.684210526	5	1	0	141.36842109999998	165.1578947	23.78947368	153.2631579	30.59183874	32.06625431	19.37978592	29.80198997
basket	basket	basket	46	3.955555556	1	0	2	239.8666667	265.7111111	25.84444444	252.7888889	16.44218521	15.065949300000002	19.07992228	12.55600585
basketball	basketball	basketball	46	3.891304348	0	0	5	238.7608696	247.5	8.739130435	243.1304348	12.09992614	10.47483757	6.122580366	10.89466474
basketball hoop	basketball_hoop	basketball 	44	3.75	0	0	4	228.3409091	243.0909091	14.75	235.7159091	24.37873948	22.84916993	10.46394696	23.03975274
bassinet	bassinet	bassinet	42	4.692307692	0	3	1	272.4871795	290.6153846	18.12820513	281.55128210000004	20.99607958	19.68784742	10.20624032	19.70232249
bassoon	bassoon	bassoon	47	4.694444444	0	12	2	271.6388889	286.1111111	14.47222222	278.875	22.83625285	20.63530647	8.774919165	21.31678581
bat	bat1	bat (animal)	46	3.173913043	0	0	0	198.0217391	227.3478261	29.32608696	212.6847826	20.15549457	19.77452614	17.29232887	17.99671535
bat	bat2	bat (sports)	46	4.260869565	0	0	0	250.7608696	267.1086957	16.34782609	258.9347826	26.04371093	25.15660131	7.961622926	25.29264467
bathmat	bathmat	bathmat	44	4.11627907	1	0	1	249.627907	266.5348837	16.90697674	258.0813953	19.99645594	19.70901273	11.33644345	19.02690145
bathrobe	bathrobe	bathrobe	39	4.631578947	1	0	0	270.0526316	288.5789474	18.52631579	279.3157895	27.71763744	23.10917868	12.33701712	24.76086195
bathtub	bathtub	bathtub	47	5.553191489	0	0	0	301.29787230000005	323.106383	21.80851064	312.20212769999995	10.3837559	13.35507401	11.35138049	10.52980221
baton	baton1	baton (conductors baton)	47	3.674418605	1	3	1	228.8604651	245.6744186	16.81395349	237.2674419	34.31408249	31.53737083	14.59656811	32.13667776
baton	baton2	baton (relay baton)	43	3.475	0	3	1	220.9	238.275	17.375	229.5875	19.9072207	21.52278161	14.0506182	19.50407173
baton	baton3	baton (drum major)	48	4.046511628	2	3	0	246.4418605	264.0232558	17.58139535	255.2325581	35.24425136	35.718134899999995	11.93680295	34.97641192
baton	baton4	baton (sports)	47	4.069767442	0	4	1	241.9069767	260.3953488	18.48837209	251.1511628	29.47865568	23.62720338	19.12163085	24.9441125
batter	batter	batter	36	3.882352941	15	4	0	230.8823529	251.7058824	20.82352941	241.2941176	50.55428067	51.22592691	13.74425013	50.4250864
battery	battery	battery	46	2.266666667	1	0	0	152.82222219999997	187.6888889	34.86666667	170.25555559999998	21.05003659	35.93606837	35.43598582	23.52286659
bazooka	bazooka	bazooka	44	4.95	0	4	0	279.6	296.525	16.925	288.0625	49.42064346	49.37610109	7.144614252999999	49.26903999
beachball	beachball	beachball	45	4.0	0	0	2	242.2666667	259.2888889	17.02222222	250.7777778	15.16485171	14.25517804	12.26689723	13.37805002
bead	bead	bead	47	1.042553191	0	0	0	123.4468085	149.5106383	26.06382979	136.4787234	32.60755348	32.41837398	14.59065254	31.68406496
beaker	beaker	beaker	46	3.024390244	0	5	0	196.5121951	227.0731707	30.56097561	211.7926829	26.81522138	20.32042106	21.82206312	21.14088918
bean	bean	bean	47	1.255319149	0	0	0	123.2340426	139.8510638	16.61702128	131.5425532	17.30445126	14.2782576	11.31861336	14.81987128
beanbag	beanbag	beanbag	47	3.977777778	1	1	0	237.9111111	262.8888889	24.97777778	250.4	52.69846566	49.85899309	20.0244043	50.31182312
beanie	beanie	beanie (hat)	43	3.604651163	0	0	0	222.6046512	237.5581395	14.95348837	230.08139530000005	11.97047864	11.7702254	7.58743789	11.24824337
bear	bear	bear	48	5.895833333	0	0	0	310.5416667	336.2083333	25.66666667	323.375	25.28640904	21.05409278	19.71211242	21.07597705
beard	beard	beard	43	3.027777778	7	0	0	194.8611111	220.6388889	25.77777778	207.75	35.17885142	32.28635517	21.73491084	31.96683549
beaver	beaver	beaver	47	4.065217391	1	0	0	245.1521739	266.8043478	21.65217391	255.9782609	28.75951428	19.14113612	17.80164461	22.74910414
bed	bed	bed	50	5.94	0	0	0	317.24	340.04	22.8	328.64	12.21835354	5.275898221	12.67167821	6.958360116000001
bedpan	bedpan	bedpan	44	3.951219512	0	3	2	236.73170730000004	253.0731707	16.34146341	244.902439	19.02107304	16.63789386	13.86291772	16.47013187
bedpost	bedpost	bedpost	46	4.9130434780000005	0	0	0	276.9130435	297.47826089999995	20.56521739	287.1956522	34.47564428	32.79751964	14.24960377	32.8840519
bee	bee	bee	46	1.282608696	0	0	2	130.1086957	147.1086957	17.0	138.6086957	15.56238808	16.17436691	11.44843512	14.80312018
beehive	beehive	beehive	43	3.697674419	0	0	2	224.1395349	255.1627907	31.02325581	239.6511628	32.88405417	27.01139991	26.67305433	26.97453272
beer	beer	beer	48	3.380952381	6	0	1	211.0	227.5	16.5	219.25	24.4081154	23.34601862	12.94877337	22.9886637
beet	beet	beet	46	2.644444444	0	1	0	176.9777778	200.4	23.42222222	188.6888889	27.648351	24.19560441	15.82071267	24.74581895
beetle	beetle	beetle	44	1.522727273	0	0	1	138.06818180000002	158.0454545	19.97727273	148.05681819999998	20.84650183	19.82241454	13.87567495	19.12116078
bell	bell	bell	49	2.957446809	2	0	0	188.9574468	217.1276596	28.17021277	203.0425532	19.96622958	26.65774789	25.86025921	19.68386831
bell pepper	bell_pepper	bell pepper	47	2.787234043	0	0	0	191.893617	210.2765957	18.38297872	201.0851064	15.74557777	14.87001963	10.54298281	14.37816852
belt	belt	belt	43	3.720930233	0	0	0	228.9302326	249.4418605	20.51162791	239.1860465	29.70040512	29.22678348	14.01592987	28.61901284
belt buckle	belt_buckle	belt buckle	45	2.355555556	0	0	0	175.0888889	194.2222222	19.13333333	184.6555556	17.25322397	14.9193116	13.68243732	14.60573604
bench	bench	bench	48	5.4375	0	0	0	296.6875	318.7916667	22.10416667	307.7395833	14.64350303	18.64330161	14.92711311	15.0099221
berry	berry	berry	46	1.326086957	0	0	1	133.8478261	154.56521740000002	20.7173913	144.2065217	11.83773137	14.58104123	13.55919212	11.41956221
bib	bib	bib	44	3.279069767	0	1	0	209.7906977	230.32558140000003	20.53488372	220.0581395	27.93066086	22.80843717	12.07979194	24.77282721
bike	bike	bike	47	5.234042553	0	0	0	296.3617021	311.8510638	15.4893617	304.106383	15.43770868	15.31549191	7.804325278999999	14.87335529
bikini	bikini	bikini	46	3.651162791	2	1	0	226.6744186	245.8837209	19.20930233	236.27906980000003	18.74607379	13.58256814	12.37808767	15.15409041
bin	bin	bin (storage)	43	4.341463415	1	1	0	252.9268293	289.1219512	36.19512195	271.0243902	25.69765577	21.269926100000003	29.55521909	18.38509968
